featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
logarithm_glrlm_GrayLevelNonUniformityNormalized,8,7,7,6,18,18,18,18,31,31,30,30,41,40,38,38,42,36,35,30
wavelet.HLL_glrlm_RunEntropy,7,6,7,6,4,4,4,4,2,2,1,1,1,1,1,1,0,0,0,0
wavelet.HHL_glszm_GrayLevelVariance,1,1,1,1,1,1,0,0,5,4,4,3,5,4,5,4,17,12,10,6
log.sigma.3.mm.3D_gldm_DependenceNonUniformityNormalized,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_glcm_Idn,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
square_gldm_LargeDependenceEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_10Percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_firstorder_Skewness,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_glcm_DifferenceVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
original_glrlm_ShortRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_glcm_SumAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_InverseVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
original_ngtdm_Coarseness,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.HLH_glrlm_HighGrayLevelRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_MeanAbsoluteDeviation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glrlm_HighGrayLevelRunEmphasis,3,1,2,1,3,2,3,2,1,1,1,1,3,3,3,3,4,2,3,2
exponential_glcm_JointEnergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_gldm_DependenceNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_firstorder_90Percentile,227,192,211,184,268,241,250,225,281,248,259,229,321,279,266,234,356,282,292,225
exponential_firstorder_Mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
original_glcm_DifferenceVariance,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_glcm_Idmn,1,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,1,0,1,0
logarithm_glszm_LargeAreaEmphasis,69,58,65,55,81,78,77,74,87,79,87,79,77,66,71,61,56,48,50,42
original_shape_MajorAxisLength,107,91,98,84,134,122,125,113,141,129,131,120,154,138,130,116,209,163,164,127
lbp.3D.m1_gldm_GrayLevelNonUniformity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_firstorder_RootMeanSquared,5,5,3,3,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_glszm_SmallAreaEmphasis,3,2,2,2,2,2,2,2,0,0,0,0,5,3,2,1,1,1,1,1
original_ngtdm_Contrast,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,1,0,1,0
log.sigma.3.mm.3D_firstorder_Maximum,39,32,34,28,50,47,49,46,35,25,32,22,30,28,29,27,29,20,25,17
wavelet.HLH_glcm_JointEnergy,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis,5,2,5,2,2,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0
wavelet.LLL_glrlm_RunPercentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_glrlm_RunPercentage,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLL_ngtdm_Strength,0,0,0,0,0,0,0,0,4,4,3,3,8,7,8,7,11,10,9,9
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,75,66,75,66,77,71,76,70,93,85,91,83,67,61,62,57,48,36,39,29
gradient_glrlm_RunLengthNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_glcm_ClusterShade,1,1,1,1,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,0
squareroot_glcm_JointEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_Idmn,4,4,4,4,11,10,10,9,3,3,1,1,2,1,2,1,0,0,0,0
wavelet.LHH_glcm_SumSquares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_firstorder_MeanAbsoluteDeviation,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_firstorder_Variance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logarithm_glrlm_GrayLevelNonUniformity,9,7,8,6,5,4,4,3,4,3,4,3,1,1,1,1,0,0,0,0
log.sigma.5.mm.3D_gldm_DependenceEntropy,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.HLL_firstorder_TotalEnergy,20,19,19,19,38,35,36,33,41,37,40,36,49,47,41,41,69,58,56,46
wavelet.LLL_glcm_DifferenceAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_gldm_DependenceNonUniformity,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
exponential_ngtdm_Strength,20,16,20,16,17,17,14,14,11,11,9,9,11,10,10,9,3,3,1,1
log.sigma.3.mm.3D_glrlm_ShortRunEmphasis,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glrlm_RunPercentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glcm_Correlation,2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0
wavelet.LLL_glcm_JointEnergy,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_gldm_DependenceEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_DifferenceVariance,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,11,10,11,10,11,10,10,9,5,5,4,4,6,5,6,5,3,2,3,2
wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,1,1,1,1,1,1,1,1,3,2,3,2,6,6,5,5,3,3,2,2
wavelet.HHH_glrlm_GrayLevelNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_InterquartileRange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_glrlm_LowGrayLevelRunEmphasis,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
log.sigma.5.mm.3D_glcm_DifferenceVariance,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_glszm_GrayLevelNonUniformityNormalized,20,17,20,17,12,10,12,10,19,18,19,18,13,12,13,12,15,13,10,8
lbp.3D.m1_firstorder_RobustMeanAbsoluteDeviation,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,0,1,0
lbp.3D.k_firstorder_Range,12,11,11,10,9,8,9,8,12,11,12,11,18,16,17,15,13,10,9,6
wavelet.HHL_glcm_Idmn,3,3,3,3,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0
wavelet.LLL_glcm_SumSquares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
