featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
gradient_gldm_DependenceNonUniformityNormalized,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_firstorder_90Percentile,452,371,372,319,630,530,538,463,775,619,600,492,880,636,622,443,930,620,546,371
exponential_firstorder_Mean,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
original_glcm_DifferenceVariance,2,2,2,2,1,1,1,1,2,2,1,1,1,0,1,0,0,0,0,0
wavelet.HHH_glcm_Idmn,10,9,9,8,11,9,10,9,13,10,11,8,11,6,9,5,16,9,9,5
logarithm_glszm_LargeAreaEmphasis,34,30,31,27,47,41,41,36,50,35,35,25,43,31,36,26,34,26,18,14
original_shape_MajorAxisLength,369,316,327,288,501,426,435,375,648,521,500,408,730,535,517,376,798,530,469,324
lbp.3D.m1_gldm_GrayLevelNonUniformity,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
lbp.3D.k_firstorder_RootMeanSquared,22,14,17,11,22,16,16,13,16,11,12,8,6,4,4,2,3,0,0,0
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,11,7,6,5,10,7,7,5,11,9,7,4,10,7,8,5,4,1,3,1
wavelet.HHL_glszm_SmallAreaEmphasis,68,44,49,36,62,48,50,39,104,76,71,54,146,104,100,71,149,90,68,44
original_ngtdm_Contrast,1,1,1,1,5,3,5,3,10,7,6,5,6,4,3,3,4,3,3,1
log.sigma.3.mm.3D_firstorder_Maximum,39,27,26,20,45,32,37,27,63,41,41,29,69,44,54,35,61,41,40,26
wavelet.HLH_glcm_JointEnergy,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis,5,3,2,1,3,3,3,3,2,2,1,1,1,0,1,0,0,0,0,0
wavelet.LLL_glrlm_RunPercentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_glrlm_RunPercentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLL_ngtdm_Strength,13,10,11,10,21,16,18,15,26,17,16,10,18,9,11,5,25,17,13,8
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,61,54,56,52,106,93,93,81,95,84,71,64,89,63,65,45,93,59,55,35
gradient_glrlm_RunLengthNonUniformityNormalized,3,3,3,3,6,3,5,2,8,5,6,4,3,3,2,2,4,1,4,1
gradient_glcm_ClusterShade,5,5,5,5,7,5,7,5,3,3,2,2,3,1,2,1,3,1,2,1
squareroot_glcm_JointEntropy,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_Idmn,17,14,13,12,7,5,6,5,6,4,6,4,9,6,5,2,3,2,1,0
wavelet.LHH_glcm_SumSquares,2,1,2,1,3,3,3,3,2,2,0,0,2,1,1,1,5,3,2,1
lbp.3D.k_firstorder_MeanAbsoluteDeviation,8,7,7,6,6,5,3,3,16,13,12,9,12,7,8,5,20,13,12,8
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
square_firstorder_Variance,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0
logarithm_glrlm_GrayLevelNonUniformity,47,36,41,32,58,52,48,44,61,47,44,34,48,29,29,17,44,27,23,13
log.sigma.5.mm.3D_gldm_DependenceEntropy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_firstorder_TotalEnergy,21,16,16,12,21,17,17,15,26,22,21,19,25,19,15,11,16,9,12,5
wavelet.LLL_glcm_DifferenceAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_gldm_DependenceNonUniformity,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
exponential_ngtdm_Strength,27,22,23,21,16,12,13,10,16,10,15,9,5,4,5,4,6,5,3,2
log.sigma.3.mm.3D_glrlm_ShortRunEmphasis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glrlm_RunPercentage,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glcm_Correlation,3,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
wavelet.LLL_glcm_JointEnergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_gldm_DependenceEntropy,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_DifferenceVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis,1,1,0,0,1,0,1,0,3,3,1,1,2,2,0,0,0,0,0,0
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,19,8,11,4,12,10,11,9,9,8,7,5,6,3,6,3,1,1,2,1
wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,46,43,41,40,94,79,83,72,128,103,101,82,209,161,140,104,257,172,146,96
